business_name,author_name,text,rating,rating_category,place_url
Popeyes Jurong Point,Joel Goh,Garbage branch give wrong order with missing items. Prioritizing grab drivers over in stall customer. Dont support and patronize them pls,1.0,negative,"https://www.google.com/maps/place/Popeyes+Jurong+Point/@1.3388699,103.6694404,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f92d42ab84d:0x645ae213a6d69122!8m2!3d1.3394886!4d103.7052064!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnVPVTFxTUZGM0VBRaoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgYEDc!16s%2Fg%2F11c6vsdfnm"
Sushi-GO,Sylvia Tan,"Been here quite a few times, experience getting worst and worst. I kept getting wrong food send to my table, the taste isn't consistent as well. Quantity getting lesser and lesser too. Staff kept talking till I've to bring the food right to their face telling them that the food send to my table was wrong. If it wasn't for my kids, I wouldn't wanna eat here .",1.0,negative,"https://www.google.com/maps/place/Sushi-GO/@1.3499609,103.6823352,14z/data=!3m1!5s0x31da0feccd9a4093:0xd320a963d0ae2e88!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f754ac2afe3:0xa5a9c4c5095aa2a9!8m2!3d1.3393507!4d103.7066758!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEXY2FzdWFsX3N1c2hpX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXhha3hNV0VaM0VBRaoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgAEDo!16s%2Fg%2F11fny_0xzw"
Milan Shokudo,Gla Dys,Food was mid n not that cheap. My bad for thinking the pastas would be around 6 dollars but its around $10 which is way ex than saizeria …,1.0,negative,"https://www.google.com/maps/place/Milan+Shokudo/@1.4019304,103.7148171,14z/data=!3m1!5s0x31da11e999d9114d:0xb825fcec1f68e12b!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da11e4fc75ac43:0xced93c5e940fef20!8m2!3d1.3852086!4d103.7449371!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgETamFwYW5lc2VfcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczFlRmxZY0hWWFJVNHdWMmt4VmxGWVdrSmFWa2t3VkVSQ2RtSklZeEFCqgFREAEqDyILcmVzdGF1cmFudHMoADIeEAEiGrKDpIbpSRVtZQ6N1D1wcAyxL3Ex0RdrLPrbMhwQAiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3Jl4AEA-gEECAAQMQ!16s%2Fg%2F11qgf593bd"
Domino's Pizza,Sulizah B,"Terrible place. Ordered online but kitchen did not accept order. Went there to order but staff pretended not to see. And when he finally attended to us, he mentioned no walk in. Can only order online. HELLO??? Make up your mind",1.0,negative,"https://www.google.com/maps/place/Domino's+Pizza/@1.3470348,103.6444482,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0fe0009f1891:0x88a548cc8892054f!8m2!3d1.3466913!4d103.6859655!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUnZkR1p1YjBGM0VBRaoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgAEDw!16s%2Fg%2F11v9g3nct1"
COLLIN'S® Westgate,Weicheng,"I was really disappointed with my experience here. I ordered a watermelon juice, and it arrived spoiled and sour, not fresh at all. When I asked for a replacement, the server was very rude about it. My steak was also tough and full of …",1.0,negative,"https://www.google.com/maps/place/COLLIN'S%C2%AE+Westgate/@1.3337337,103.706606,14z/data=!3m1!5s0x31da100fa832bb29:0x6d2dbc58a2d33ecb!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da11f333b9b087:0x718795895d652979!8m2!3d1.3337337!4d103.7426549!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgESd2VzdGVybl9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4VmVVNUhaRzVoUjNSRVZUSm9iVmxVV2xOaWExazBZVEk0ZWxGclJSQUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIXhA-!16s%2Fg%2F11fkwbpsgy"
Stuff'd,Sandra Wong,"Opening hours 10:30-9pm, went at 11:30am but told that they don’t open till 12pm. Yet they started serving food panda orders..",1.0,negative,"https://www.google.com/maps/place/Stuff'd/@1.3394886,103.6691575,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f92d726cd89:0xbdf7047a0b3cdba!8m2!3d1.3387943!4d103.7051294!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEKc2FsYWRfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2N6UjJSbTluUlJBQqoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgAEEs!16s%2Fg%2F11d_z23n1z"
803 Thai Food (803泰国小吃 @ Upper Jurong Road,kangcs,"The Chinese guy was showing attitude during lunch time, talking like gangster .",1.0,negative,"https://www.google.com/maps/place/803+Thai+Food+(803%E6%B3%B0%E5%9B%BD%E5%B0%8F%E5%90%83+@+Upper+Jurong+Road/@1.3294921,103.6461398,14z/data=!3m1!5s0x31da0f7f83fa12e1:0xc9083ff7bb9eb0de!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da1105bf651bef:0xc8e5e72a5e14a42b!8m2!3d1.3294921!4d103.6821887!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEMaGF3a2VyX3N0YWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTW5GSFR6UjNSUkFCqgFREAEqDyILcmVzdGF1cmFudHMoADIeEAEiGrKDpIbpSRVtZQ6N1D1wcAyxL3Ex0RdrLPrbMhwQAiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3Jl4AEA-gEFCN8CEEU!16s%2Fg%2F11p5qnbj13"
Bonding Kitchen Orchard Singapore,Bryan Tan,"Extremely disappointing experience on a Friday evening.

I made a reservation for a Friday night dinner and was turned away. Apparently …",1.0,negative,"https://www.google.com/maps/place/Bonding+Kitchen+Orchard+Singapore/@1.305512,103.6858988,12z/data=!3m1!5s0x31da1997dd360c99:0x416f165b5c2f74ff!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da197c699b60c5:0xa95a4cbdb3647a30!8m2!3d1.300459!4d103.8393516!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgERbnlvbnlhX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTk1hM0pJUjNsblJSQUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQITRA8!16s%2Fg%2F11k_tpp6tv"
Pepper Lunch,Panwei Du,"Serve me a normal beef, but the waiter insists it is jumbo. Don’t want to argue with her.",1.0,negative,"https://www.google.com/maps/place/Pepper+Lunch/@1.3388699,103.6694404,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f92d50a0db9:0x831e56247181087e!8m2!3d1.3388699!4d103.7054893!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEKcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUNUR0Z1Vm5KaFJ6Z3haRWRLWmxneVJqRmhWVmt4VWpKT2JsbFhZeEFCqgFREAEqDyILcmVzdGF1cmFudHMoADIeEAEiGrKDpIbpSRVtZQ6N1D1wcAyxL3Ex0RdrLPrbMhwQAiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3Jl4AEA-gEECAAQQQ!16s%2Fg%2F1tfnw2jc"
NAVRATNA Indian Food & Pizza,Dumindu Nimsara,"On 2nd Aug ,Guy at the cashier (fat dark skin middle aged guy) charged me over for an egg Biriyani, to make the matter worse he served me with less rice 5.5$(No papdam)
Once I asked papdam his face become dull, He took the papdam with his bare hand and just put, As i take away food he must know it will become soggy this one basic common sense.
Hygiene-0

Same shop other guy charged me 4.5$ last week
How come the charges changes from each day, this isn’t the first time experiencing this matter from this same shop same guy..",1.0,negative,"https://www.google.com/maps/place/NAVRATNA+Indian+Food+%26+Pizza/@1.3293792,103.6470279,14z/data=!3m1!5s0x31da05804b4e690b:0x9ddc67db1303e5ca!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f7e276ae35d:0x9e18fa60f0fecf22!8m2!3d1.3270973!4d103.6780429!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgERaW5kaWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTldkV0ZEUTFwUkVBRaoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgOEDE!16s%2Fg%2F11c2qmwn71"
