business_name,author_name,text,rating,rating_category,place_url
Saigon Legend @ West Coast Plaza,Charmaine Chiu,"Vietnamese dry vermicelli with grilled pork, crispy spring roll, and a hot cup of Vietnamese coffee — always a comfort combo. 🍜☕️
The flavors still hit the spot — fresh, savory, and satisfying. That said, I …",3.0,neutral,"https://www.google.com/maps/place/Saigon+Legend+@+West+Coast+Plaza/@1.3035473,103.6216819,12z/data=!3m1!5s0x31da1af22a21450b:0xfbfa09120f288130!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da1b9258d57bf3:0xe15e92ee1a30d68a!8m2!3d1.3035473!4d103.7658775!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEVdmlldG5hbWVzZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2MyTkhjelJQV0dSdldrVm9TbEpIZUVWVVIzaHNUMVJXYm1GdVl4QUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABAw!16s%2Fg%2F11k41w1_0l"
Salmaan Food Paradise,Matthias Chua,"Price: $1.80 (Plain Thosai)

Plain Thosai: 4.5/5
Crispy and savoury.

Sambar: 4/5
Flavourful, starchy and sweet from the vegetables.

Chutney: 4/5
Sambal chilli flavourful and packs a punch. White chutney coconuty, cool and savoury like taukwa.

Total score: 12.5/15",4.0,positive,"https://www.google.com/maps/place/Salmaan+Food+Paradise/@1.3452268,103.6952284,14z/data=!3m1!5s0x31da1020d1a13d83:0x2ffca27cf81235a4!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da1020d174bbf1:0x6a9c33fc41d25710!8m2!3d1.3502561!4d103.7312915!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgERaW5kaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRjVWwyWW5GQlJSQUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABA1!16s%2Fg%2F11f12662pd"
Meta Restaurant,Nicole Teo,"we had very high expectations for this place, which unfortunately fell short.

we really enjoyed the beef and abalone dishes, those were really well done. i also really loved their desserts - that was quite a standout. apart from these, the other courses were good but just did not really hit the spot the same way.

what left a bad impression was the rate at which food was served, it was extremely slow. we felt that the restaurant was handling more customers than it could and couldn’t keep up. also, we had to wait for awhile for a turn to use the restroom. this is a small issue, but rather unexpected.

that aside though, the service crew was really amazing and professional. they were really knowledgeable and went out of their way to serve us.

overall, it was a fairly pleasant experience although it didnt quite live up to its two star michelin rating. for its price especially, we’ve had better experiences at other places.",3.0,neutral,"https://www.google.com/maps/place/Meta+Restaurant/@1.278892,103.8052873,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da196d846b62e9:0x33f2f4b00e5bd516!8m2!3d1.2939004!4d103.8418116!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEWZmluZV9kaW5pbmdfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSGNTMTJTMnhCUlJBQqoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgaEEU!16s%2Fg%2F11bwh5qnqd"
OUMI Modern Japanese Kappo Restaurant,Katherine Tan,"Finally had the chance to dine at Oumi, all thanks to Restaurant Week. We had the 4-course dinner menu priced at $88++ per pax.  My favourite was the Gindara Misoyaki - a generous thick slice of cod grilled to perfection. I love it how they …",5.0,positive,"https://www.google.com/maps/place/OUMI+Modern+Japanese+Kappo+Restaurant/@1.2928106,103.6945036,12z/data=!3m1!5s0x31da190c074a4c25:0x7234a693b59634af!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da113daa6e9b23:0xaec605ae0fd8dd67!8m2!3d1.2837048!4d103.8501235!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgETamFwYW5lc2VfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS2VEVnBTREIzUlJBQqoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAggEEc!16s%2Fg%2F11txpx5b3l"
Marguerite,Darren Sim,Marguerite offers an extraordinary fine dining experience where every dish is a visual and culinary masterpiece. From the delicate tart crowned with vibrant tomatoes and edible flowers to the artful presentation of caviar nestled among …,5.0,positive,"https://www.google.com/maps/place/Marguerite/@1.305512,103.6858988,12z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da196866d4716b:0x8adb2e700e4461ad!8m2!3d1.2848354!4d103.8641817!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGMyOTFVbTlSUlJBQqoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgAEDI!16s%2Fg%2F11r_r26qk2"
Braci,EarthlingA,"Braci caught us by surprised with it's impressive dessert and mains. The pasta and beef was well prepared with sufficient flavours without feeling too heavy for lunch. The dessert was mind-blowing, especially the last finish with the tiramisu tart and good smokey coffee. Brings fireworks to the taste bud for sure!",5.0,positive,"https://www.google.com/maps/place/Braci/@1.305512,103.6858988,12z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da190a368ab6d7:0xc30f5e9daeb9355d!8m2!3d1.287083!4d103.849347!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgESaXRhbGlhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJPY0haZlpVNVJFQUWqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIexBA!16s%2Fg%2F11c1ntc2ft"
COLLIN'S® Westgate,Phoebe Kwok,"Food: Chef got a pass to heaven, the steak was WOWZERS. The steak cut like butter, and it was brilliant medium rare 🤤 It was as tasty as it looked.
Service: It was actually really quick even though it was at peak hours. They IMMEDIATELY led us to our table
Atmosphere: it gave a authentic kind of vibe, there were lots of decorations 🌹💐🌸📖🔖",5.0,positive,"https://www.google.com/maps/place/COLLIN'S%C2%AE+Westgate/@1.3337337,103.706606,14z/data=!3m1!5s0x31da100fa832bb29:0x6d2dbc58a2d33ecb!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da11f333b9b087:0x718795895d652979!8m2!3d1.3337337!4d103.7426549!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgESd2VzdGVybl9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4VmVVNUhaRzVoUjNSRVZUSm9iVmxVV2xOaWExazBZVEk0ZWxGclJSQUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIXhA-!16s%2Fg%2F11fkwbpsgy"
Wang Family Kitchen,wayne heng,"Nice presentation, price reasonable,  good for take aways. Love the daily menu concept!! I will be back",5.0,positive,"https://www.google.com/maps/place/Wang+Family+Kitchen/@1.3618966,103.7282148,14z/data=!3m1!5s0x31da1053a4337c47:0x763062f29941844c!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da1126ad9941c7:0x1656b96282f9d6bf!8m2!3d1.3618966!4d103.7642637!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgERa29yZWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkNNSFJNWjJ4UlJSQUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABAw!16s%2Fg%2F11lk12p4s9"
Hi-Five Restaurant & Catering Pte. Ltd.,Senthil Kumar,All foreign workers step in to dine and takeaway. Attached with drinks stall and enjoyed the brewery too,5.0,positive,"https://www.google.com/maps/place/Hi-Five+Restaurant+%26+Catering+Pte.+Ltd./@1.3108778,103.5942131,14z/data=!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da060c8227bbef:0x23e3be3d0b1106d3!8m2!3d1.3108778!4d103.630262!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgERZnVzaW9uX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZOYlV0elgwOU1PWEEyVDBWUkVBRaoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAgmECY!16s%2Fg%2F1ptwppv13"
Douraku Sushi,Terence Poh,"Nothing wrong about the Chef as he was doing his best for his job but Tung Lok seriously needs to reflect on the freshness of your food. For the price you are charging, your food quality can't even match Don Don Donki, you should consider closing this Japanese section and focus on your Chinese cuisine. Utterly disappointed.",1.0,negative,"https://www.google.com/maps/place/Douraku+Sushi/@1.3293792,103.6470279,14z/data=!3m1!5s0x31da0f7f85a65979:0xdb2260b2c0334f21!4m11!1m3!2m2!1sRestaurants+in+Singapore!6e5!3m6!1s0x31da0f6913446429:0x7af2533b3b844093!8m2!3d1.3293792!4d103.6830768!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgETamFwYW5lc2VfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmRqWnBRbnAzUlJBQqoBURABKg8iC3Jlc3RhdXJhbnRzKAAyHhABIhqyg6SG6UkVbWUOjdQ9cHAMsS9xMdEXayz62zIcEAIiGHJlc3RhdXJhbnRzIGluIHNpbmdhcG9yZeABAPoBBAhMEDQ!16s%2Fg%2F11rg8p_sfr"
