business_name,author_name,text,rating,rating_category,place_url
BYD by 1826 | Suntec City,Joyce Lim,"Risotto and carbonara were delicious. Sgd9.9 meals available to members (sign up for free on the spot) were value for money but didn't taste as great. Beer was sweet, refreshing. Free flow water in carafe on table. Spacious with high ceilings, pretty good ambience.",5.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,Cheefoo Wong,"I had a pleasant experience at this café. The staff were friendly, and orders were processed quickly. Ordering via mobile was convenient, and becoming a member offers great value with set meal options. The Western food was delicious, and I appreciated the free flow of water. A great spot for a casual meal!",5.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,Seah Jia Hui,"Top notch, free and easy show room. My friend was impressed after entering the car and is looking to make a purchase. Sadly, no sales person around, if not, I will have a new chauffeur from now on.",5.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,Mohammed Shahrizal Shahrizal,Great sales service by Serene. Remained contactable even after car delivery to answer any queries to her best ability. Lack of one star out of 5 due to the 30% dining discount (BYD Owner Benefit) at BYD lifestyle hub restaurants is unable …,4.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,HC Z,"Highly recommend Serene See!

Ordered my M6 in Feb 2025 and picked it up in early May 2025.

From start to finish, Serene made the car-buying process smooth and stress-free. She kept me informed with prompt updates at every stage and clearly outlined what I needed to prepare. Her responsiveness was outstanding—she always answered questions quickly and thoroughly. If you want a transparent, efficient, and friendly experience, Serene is the person to work with.",5.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,Mohammed Shahrizal Shahrizal,Great sales service by Serene. Remained contactable even after car delivery to answer any queries to her best ability. Lack of one star out of 5 due to the 30% dining discount (BYD Owner Benefit) at BYD lifestyle hub restaurants is unable to utilise as the eatery does not serve Muslim friendly meals. Hope the restaurant can include Muslim friendly/ Halal food.,4.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
BYD by 1826 | Suntec City,Melvin Lim,"A year ago, we purchased the Atto3 with the exceptional support of Serene See, and the entire experience was nothing short of remarkable. Serene expertly guided us in choosing the right finance and insurance options, ensured timely delivery of the car, and continued to stay in touch even after the sale.

We recently met Serene at the BYD1826 roadshow, where she was still energetically engaged in her work. Her dedication truly stands out! Thank you, Serene, for making our car-buying journey so enjoyable. Even after driving over 11,000 km, our Atto3 looks and feels as incredible as it did on the first day. We couldn't be happier with our ride. Cheers to Serene!",5.0,positive,"https://www.google.com/maps/place/BYD+by+1826+%7C+Suntec+City/@1.295551,103.7139174,12z/data=!3m1!5s0x31da19af2f9dd847:0x64dca853bafe7f80!4m9!1m2!2m1!1sRestaurants+in+Singapore!3m5!1s0x31da19e3b787c54f:0x62c68e6ab88f2b25!8m2!3d1.2955511!4d103.8581132!16s%2Fg%2F11v13dnbrn"
Saigon Legend @ West Coast Plaza,Ken Tan,Fried noodle with chicken taste flavorful.  Signature vermicelli bowl delicious and refreshing.    Weekday mains come with free water/iced viet tea or $5 upgrade to drip coffee and spring roll.  Will try other dishes next visit.  Overall good experience.,4.0,positive,"https://www.google.com/maps/place/Saigon+Legend+@+West+Coast+Plaza/@1.3035473,103.6216819,12z/data=!3m1!5s0x31da1af22a21450b:0xfbfa09120f288130!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da1b9258d57bf3:0xe15e92ee1a30d68a!8m2!3d1.3035473!4d103.7658775!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEVdmlldG5hbWVzZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2MyTkhjelJQV0dSdldrVm9TbEpIZUVWVVIzaHNUMVJXYm1GdVl4QUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABAw!16s%2Fg%2F11k41w1_0l"
Saigon Legend @ West Coast Plaza,Charmaine Chiu,"Vietnamese dry vermicelli with grilled pork, crispy spring roll, and a hot cup of Vietnamese coffee — always a comfort combo. 🍜☕️
The flavors still hit the spot — fresh, savory, and satisfying. That said, I couldn’t help but notice the pork portion’s been downsized a bit (come back, meat!) and they’ve swapped out free tissues for wet ones at 30¢ each.

Not a dealbreaker, but for a spot that charges service fees and GST, a little dry tissue would be appreciated. Still, can’t complain too much when the food’s this good. 😋",3.0,neutral,"https://www.google.com/maps/place/Saigon+Legend+@+West+Coast+Plaza/@1.3035473,103.6216819,12z/data=!3m1!5s0x31da1af22a21450b:0xfbfa09120f288130!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da1b9258d57bf3:0xe15e92ee1a30d68a!8m2!3d1.3035473!4d103.7658775!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEVdmlldG5hbWVzZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2MyTkhjelJQV0dSdldrVm9TbEpIZUVWVVIzaHNUMVJXYm1GdVl4QUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABAw!16s%2Fg%2F11k41w1_0l"
Saigon Legend @ West Coast Plaza,Mun Kew Leong,"First time at Saigon Legend. Seems to be a new restaurant. We were there at lunch time; no problem getting a table about 12nn but it filled up quite fast.

They have lots of lunch specials for a good price so my friend and I had one each, then shared an omelette as well. On weekdays they also gave us a glass of cold vietnamese tea for free.

My vermicelli special came with a spring roll, pork and raw vegetables to be mixed with the sauce and the vermicelli. I thought it was pretty good and the quantity was good for lunch. No flavour enhancers that I could taste; but lots of umami in the food. The omelette was well cooked, nicely browned but with a bit of runny egg in the middle. Worked well with the vermicelli!

Service was quick and the waitress was very patient with us (our first time) and explained all our questions. The tables are basic and it's pretty casual but the important part has to be the food.

Will definitely come back to try other dishes!",4.0,positive,"https://www.google.com/maps/place/Saigon+Legend+@+West+Coast+Plaza/@1.3035473,103.6216819,12z/data=!3m1!5s0x31da1af22a21450b:0xfbfa09120f288130!4m10!1m2!2m1!1sRestaurants+in+Singapore!3m6!1s0x31da1b9258d57bf3:0xe15e92ee1a30d68a!8m2!3d1.3035473!4d103.7658775!15sChhSZXN0YXVyYW50cyBpbiBTaW5nYXBvcmVaGiIYcmVzdGF1cmFudHMgaW4gc2luZ2Fwb3JlkgEVdmlldG5hbWVzZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2MyTkhjelJQV0dSdldrVm9TbEpIZUVWVVIzaHNUMVJXYm1GdVl4QUKqAVEQASoPIgtyZXN0YXVyYW50cygAMh4QASIasoOkhulJFW1lDo3UPXBwDLEvcTHRF2ss-tsyHBACIhhyZXN0YXVyYW50cyBpbiBzaW5nYXBvcmXgAQD6AQQIABAw!16s%2Fg%2F11k41w1_0l"
